campo,grupo,tipo_dado,tamanho,obrigatorio,chave_primaria,descricao,regra_negocio,exemplo_valido,exemplo_invalido,responsavel,frequencia_atualizacao,impacto_ausencia
codigo_material,1. Identificação,VARCHAR,10,SIM,SIM,Código único que identifica cada material no sistema,Formato MAT-XXXXX (3 letras + hífen + 5 dígitos). Único e imutável.,"MAT-00001, MAT-03457","M-001, mat00001, MAT-1 (sem zeros)",Sistema ERP,Criação única,CRÍTICO — material não existe no sistema
descricao,1. Identificação,VARCHAR,100,SIM,NÃO,Nome descritivo do material para identificação humana,Padrão: [Substantivo] + [Adjetivo/Material]. Min 3 palavras. Title Case.,"Parafuso Aço Inox, Luva Borracha Nitrílica","PARAFUSO AÇO (maiúsculas), parf (abreviação)",Almoxarife / MDO,Raramente,CRÍTICO — impossível identificar o material
descricao_complementar,1. Identificação,VARCHAR,250,NÃO,NÃO,"Informações técnicas adicionais: dimensões, especificações, normas",Usar quando descrição principal não diferencia materiais similares,"DN 50mm, PN 16, ABNT NBR 5648",Ver almoxarifado (não é informação técnica),Engenharia / MDO,Quando necessário,BAIXO — campo complementar
codigo_fabricante,1. Identificação,VARCHAR,50,NÃO,NÃO,Código do material conforme catálogo do fabricante,Exatamente como consta no catálogo. Maiúsculas.,"SKF-6205, 3M-1080-G12","vide catálogo, igual fornecedor",Compras / MDO,Quando fornecedor atualizar catálogo,MÉDIO — dificulta compra direta
categoria,2. Classificação,VARCHAR,30,SIM,NÃO,Categoria principal conforme taxonomia MDM,"Apenas 15 valores: Acessórios, EPI, Eletrônico, Elétrico, Embalagem, Escritório, Ferramentas, Fixação, Hidráulico, Limpeza, Lubrificante, Mecânico, Peças, Pneumático, Químico","Elétrico, Hidráulico, EPI","eletrico (sem acento), ELÉTRICO (maiúsculas)",MDO,Raramente (aprovação MDO),CRÍTICO — relatórios incorretos
subcategoria,2. Classificação,VARCHAR,50,NÃO,NÃO,Subdivisão da categoria para maior granularidade,Derivada da categoria. Ex: Elétrico → Cabos / Disjuntores / Tomadas,"Cabos e Fios, EPI Proteção Visual","Outros, Geral, N/A",MDO,Quando necessário,BAIXO
ncm,2. Classificação,CHAR,8,SIM,NÃO,Nomenclatura Comum do Mercosul — código fiscal de 8 dígitos,Exatamente 8 dígitos. Sem pontos. Consultar tabela TIPI (Receita Federal).,"84841467, 39174710","8484.14.67 (com pontos), 848414 (6 dígitos), 99999999 (genérico)",Fiscal / MDO,Quando tabela TIPI mudar,CRÍTICO — nota fiscal bloqueada
curva_abc,2. Classificação,CHAR,1,NÃO,NÃO,"Classificação ABC por valor de consumo: A=top80%, B=15%, C=5%","A, B ou C. Recalcular a cada 6 meses.","A, B, C","a (minúsculo), 1, Alto",MDO / Supply Chain,Semestral,MÉDIO — dificulta priorização de compras
criticidade,2. Classificação,VARCHAR,10,NÃO,NÃO,Impacto na operação em caso de falta,CRÍTICO = para produção; IMPORTANTE = atrasa; NORMAL = sem impacto imediato,"CRÍTICO, IMPORTANTE, NORMAL","Critico (sem maiúsculas), C, 1",Engenharia / Operações,Anual,MÉDIO — dificulta gestão de emergências
unidade_medida,3. Unidades e Medidas,CHAR,5,SIM,NÃO,Unidade de medida para controle de estoque e compras,"Valores: UN, KG, L, M, CX, PCT, GL, RL, M², MT, PC, GR","UN (unidade), KG (quilograma), L (litro)","unidade (por extenso), Kg (caixa mista)",MDO,Raramente,CRÍTICO — compra e estoque incorretos
fator_conversao,3. Unidades e Medidas,DECIMAL,"10,4",NÃO,NÃO,Fator entre unidade de compra e unidade de estoque,Deve ser > 0. Ex: compra em CX com 12 UN → fator = 12.,"12.0000 (caixa c/ 12), 0.0010 (grama p/ kg)","0, negativo, nulo quando unidades diferentes",Compras / MDO,Quando embalagem mudar,MÉDIO — divergência compra vs estoque
peso_liquido_kg,3. Unidades e Medidas,DECIMAL,"10,3",NÃO,NÃO,Peso do material sem embalagem em quilogramas,Deve ser > 0. Obrigatório para materiais importados e logística.,"0.250 (250g), 15.000 (15kg)","0, negativo",Engenharia / Compras,Quando produto mudar,MÉDIO — afeta cálculo de frete
preco_unitario,4. Preços e Custos,DECIMAL,"12,2",SIM,NÃO,Preço médio ponderado do material em reais (R$),Deve ser > 0. Atualizado automaticamente pelo ERP a cada entrada. Nunca editar manualmente.,"15.90, 1250.00, 0.35","0 (zerado), -10 (negativo), 999999 (sem validação)",Sistema ERP (automático),A cada entrada de NF,CRÍTICO — balanço patrimonial incorreto
preco_ultima_compra,4. Preços e Custos,DECIMAL,"12,2",NÃO,NÃO,Valor unitário da última nota fiscal de entrada,Deve ser > 0. Atualizado automaticamente a cada entrada.,"18.50, 1300.00","0, negativo",Sistema ERP (automático),A cada compra,MÉDIO — dificulta negociação
preco_maximo_compra,4. Preços e Custos,DECIMAL,"12,2",NÃO,NÃO,Teto de preço aprovado. Compras acima exigem aprovação especial.,Deve ser >= preco_unitario. Aprovação MDO + Gestor para alterar.,25.00 (quando preço é 18.50),Menor que preco_unitario,Compras / Gestão,Trimestral,MÉDIO — compras sem controle de preço
moeda,4. Preços e Custos,CHAR,3,NÃO,NÃO,Moeda de referência do preço. Padrão BRL.,"Código ISO 4217: BRL, USD, EUR. Obrigatório para materiais importados.","BRL, USD, EUR","Real, Dólar, R$",Compras / MDO,Quando mudar moeda,MÉDIO — risco cambial não gerenciado
estoque_atual,5. Estoque,INTEGER,10,SIM,NÃO,Quantidade física disponível no almoxarifado,Deve ser >= 0. Atualizado em tempo real a cada movimentação.,"0 (sem estoque), 150, 3462",-5 (negativo = erro de sistema),Sistema ERP (automático),Tempo real,CRÍTICO — não sabe o que tem em estoque
estoque_minimo,5. Estoque,DECIMAL,"10,2",NÃO,NÃO,Quantidade mínima que deve existir em estoque (ponto de pedido),Deve ser > 0. Base: consumo_medio_diario × lead_time × fator_segurança (1.2-1.5),"50, 184.0","0 (nunca repõe), negativo",Supply Chain / Almoxarife,Semestral,ALTO — risco de ruptura de estoque
estoque_maximo,5. Estoque,DECIMAL,"10,2",NÃO,NÃO,Quantidade máxima permitida para evitar superlotação,Deve ser > estoque_minimo. Regra prática: estoque_minimo × 3.,552.0 (quando mínimo é 184),Menor ou igual ao estoque_minimo,Supply Chain,Semestral,MÉDIO — risco de excesso de estoque
ponto_reposicao,5. Estoque,DECIMAL,"10,2",NÃO,NÃO,Nível que dispara automaticamente uma solicitação de compra,Deve ser >= estoque_minimo. = mínimo + consumo durante lead_time.,"230, 184",Menor que estoque_minimo,Supply Chain / MDO,Semestral,ALTO — compras manuais sem automação
lote_compra,5. Estoque,INTEGER,10,NÃO,NÃO,Quantidade mínima por pedido de compra (múltiplo do fornecedor),Deve ser > 0. Ex: parafusos em caixas de 100 → lote = 100.,"100, 1, 25","0, negativo",Compras,Quando fornecedor mudar embalagem,MÉDIO — pedidos com quantidades erradas
fornecedor_principal,6. Fornecedor,VARCHAR,80,NÃO,NÃO,Nome do fornecedor preferencial para compras,Deve existir no cadastro de fornecedores do ERP. Title Case.,"Distribuidora ABC, Importadora JKL","SEM_FORNECEDOR (provisório), Vários",Compras / MDO,Quando fornecedor mudar,ALTO — compras sem referência
fornecedor_alternativo,6. Fornecedor,VARCHAR,80,NÃO,NÃO,Fornecedor de contingência quando o principal não atende,Diferente do fornecedor_principal.,Suprimentos XYZ,Igual ao principal,Compras,Quando necessário,MÉDIO — vulnerabilidade a stockout
lead_time_dias,6. Fornecedor,INTEGER,5,NÃO,NÃO,Dias úteis entre emissão do pedido e recebimento,Deve ser > 0. Local: 2-5 dias. Importado: 30-90 dias.,"3, 15, 45","0, negativo",Compras,Quando desempenho mudar,ALTO — estoque mínimo calculado errado
condicao_pagamento,6. Fornecedor,VARCHAR,20,NÃO,NÃO,Prazo de pagamento acordado com o fornecedor,Formato: número + DDL. Ex: 30DDL = 30 dias da data da nota.,"30DDL, 60DDL, 0DDL (à vista)","30 dias, um mês",Compras / Financeiro,Quando renegociar,BAIXO — Financeiro controla separado
localizacao_fisica,7. Localização,VARCHAR,20,NÃO,NÃO,Endereço físico no almoxarifado: Bloco-Corredor-Prateleira,Formato: X-YY-ZZ (Bloco letra + Corredor 2 dígitos + Prateleira 2 dígitos),"A-01-03, C-20-05, E-07-05","Galpão A, Prateleira 3, Perto da porta",Almoxarife,Quando reorganizar almoxarifado,MÉDIO — separação lenta de pedidos
almoxarifado,7. Localização,VARCHAR,20,NÃO,NÃO,Identificação do almoxarifado (multi-unidades),"Valores: ALM-CENTRAL, ALM-PRODUCAO, ALM-EXTERNO","ALM-CENTRAL, ALM-PRODUCAO","Central, almox, 1",Almoxarife / TI,Quando estrutura mudar,ALTO — para empresas multi-unidades
centro_custo,8. Fiscal e Legal,VARCHAR,15,NÃO,NÃO,Centro de custo que consome este material,Formato XXX-YYY. Deve existir no plano de contas.,"ADM-001, MAN-002, PRD-003","Administração, Centro 1",Controladoria / MDO,Quando estrutura mudar,MÉDIO — rateio de custos impreciso
conta_contabil,8. Fiscal e Legal,VARCHAR,20,NÃO,NÃO,Conta do plano contábil para lançamento das movimentações,Código conforme Plano de Contas da empresa.,"1.1.3.01, 3.1.2.05","Estoque, Consumo (nomes)",Controladoria,Quando plano contábil mudar,ALTO — integração contábil incorreta
cst_icms,8. Fiscal e Legal,CHAR,3,NÃO,NÃO,Código de Situação Tributária do ICMS (tabela SEFAZ),3 dígitos. 000=tributado; 040=isento; 060=substituição tributária.,"000, 040, 060","00, ISENTO, Tributado",Fiscal,Quando legislação mudar,CRÍTICO — erro em NF (multa)
aliquota_ipi,8. Fiscal e Legal,DECIMAL,"5,2",NÃO,NÃO,Alíquota do IPI em percentual,Entre 0.00 e 100.00. Consultar TIPI pelo NCM.,"0.00 (isento), 5.00, 12.50","5% (com símbolo), 150 (> 100)",Fiscal,Quando TIPI mudar,ALTO — cálculo de custo errado
data_cadastro,9. Controle e Datas,DATE,10,SIM,NÃO,Data em que o material foi inserido no sistema,Formato YYYY-MM-DD. Preenchido automaticamente. Nunca alterar.,"2024-03-15, 2025-11-01","15/03/2024 (formato BR), 2024-3-5 (sem zeros)",Sistema ERP (automático),Nunca,MÉDIO — auditoria impossível
ultima_movimentacao,9. Controle e Datas,DATE,10,SIM,NÃO,Data da última entrada ou saída registrada no estoque,Atualizado automaticamente. Deve ser >= data_cadastro.,"2025-12-01, 2026-01-15",Anterior à data_cadastro,Sistema ERP (automático),A cada movimentação,ALTO — impossível identificar obsoletos
data_ultima_revisao,9. Controle e Datas,DATE,10,NÃO,NÃO,Data da última revisão dos dados cadastrais pelo MDO,Formato YYYY-MM-DD. Atualizar sempre que revisar qualquer campo.,2026-01-10,Data futura,MDO,A cada revisão,MÉDIO — não sabe se cadastro está atual
validade,9. Controle e Datas,DATE,10,CONDICIONAL,NÃO,"Data de vencimento (lubrificantes, químicos, EPIs com prazo)",Obrigatório para itens com prazo. Deve ser data futura.,2027-06-30,Data passada (produto vencido em estoque),Almoxarife,A cada novo lote,CRÍTICO — para itens com validade
status,10. Status e Ciclo de Vida,VARCHAR,15,SIM,NÃO,Situação do material no ciclo de vida do cadastro,"Valores: Ativo (em uso), Inativo (sem uso > 1 ano), Bloqueado (problemas)","Ativo, Inativo, Bloqueado","ativo (minúsculo), ATIVO, OK",MDO,Conforme ciclo de vida,CRÍTICO — obsoletos podem ser comprados
motivo_bloqueio,10. Status e Ciclo de Vida,VARCHAR,200,CONDICIONAL,NÃO,Descrição do motivo quando status = Bloqueado,"Obrigatório quando Bloqueado. Descrever: o que, quando, quem bloqueou.",NCM incorreto identificado em 2026-01-15. Aguarda correção fiscal.,Bloqueado (sem explicação),MDO,Ao bloquear,MÉDIO — bloqueio sem rastreabilidade
data_obsolescencia,10. Status e Ciclo de Vida,DATE,10,NÃO,NÃO,Data prevista para descontinuação do material,Usar quando material será substituído. Definir o substituto em observações.,2026-12-31,Data passada sem status Inativo,MDO / Engenharia,Quando definida obsolescência,BAIXO — planejamento antecipado
responsavel_cadastro,11. Qualidade e Governança,VARCHAR,60,SIM,NÃO,Nome do profissional responsável pelo cadastro inicial,Nome completo Title Case. Usuário ativo no sistema.,"João Silva, Ricardo Alves","joao (minúsculo), J. Silva (abreviado)",MDO / RH,Somente na criação,MÉDIO — sem dono do cadastro
score_qualidade,11. Qualidade e Governança,DECIMAL,"5,2",NÃO,NÃO,Score de 0 a 100 que mede completude e qualidade do cadastro,Calculado automaticamente. Meta: >= 80.,"95.00, 72.50, 100.00","Negativo, > 100",Sistema MDM (automático),A cada atualização,BAIXO — indicador de gestão
nivel_aprovacao,11. Qualidade e Governança,VARCHAR,20,NÃO,NÃO,Último nível de aprovação no workflow MDM,"Valores: AUTO-APROVADO, SUPERVISOR, MDO, PENDENTE","AUTO-APROVADO, MDO","aprovado (minúsculo), Nível 1",Sistema Workflow,A cada revisão,BAIXO — controle de processo
observacoes,11. Qualidade e Governança,VARCHAR,500,NÃO,NÃO,Campo livre para informações não estruturadas,Usar apenas quando nenhum outro campo for adequado.,Requer aprovação do engenheiro antes de cada compra.,Ver acima (sem informação nova),Qualquer usuário com permissão,Quando necessário,BAIXO
